Time (milliseconds),files_open
1,17
1002,22
2001,22
3001,22
4001,22
5002,22
6001,22
7002,22
8001,22
9001,22
10002,22
11001,22
12002,22
13001,22
14001,22
15001,22
16002,22
17002,22
18002,22
19001,22
20001,22
21002,22
22002,22
23001,22
24001,22
25002,22
26001,22
27001,22
28001,22
29001,22
30003,22
31001,22
32001,22
33002,22
34002,22
35001,22
36001,22
37002,22
38002,22
39001,22
40001,22
41002,22
42001,22
43002,22
44002,22
45001,22
46001,22
47002,22
48002,22
49001,22
50001,22
51002,22
52002,22
53001,22
54001,22
55002,22
56001,22
57001,22
58001,22
59001,22
60001,22
61002,22
62001,22
63001,22
64002,22
65002,22
66001,22
67002,22
68002,22
69002,22
70001,22
71001,22
72002,22
73002,22
74002,22
75002,22
76001,22
77002,22
78001,22
79001,22
80001,22
81001,22
82001,22
83002,22
84001,22
85002,22
86001,22
87001,22
88001,22
89002,22
90001,22
91001,22
92001,22
93002,22
94001,22
95001,22
96002,22
97002,22
98002,22
99002,22
100001,22
101001,22
102001,22
103002,22
104001,22
105002,22
106001,22
107002,22
108001,22
109001,22
110002,22
111002,22
112001,22
113002,22
114001,22
115001,22
116002,22
117001,22
118001,22
119001,22
120002,22
121002,22
122002,22
123002,22
124003,22
125001,22
126002,22
127001,22
128001,22
129001,22
130001,22
131001,22
132001,22
133002,22
134002,22
135001,22
136001,22
137003,22
138001,22
139001,22
140002,22
141001,22
142001,22
143002,22
144002,22
145002,22
146001,22
147001,22
148001,22
149002,22
150002,22
151002,22
152001,22
153001,22
154002,22
155002,22
156001,22
157002,22
158001,22
159001,22
160002,22
161002,22
162001,22
163001,22
164002,22
165002,22
166001,22
167002,22
168002,22
169001,22
170001,22
171001,22
172001,22
173002,22
174002,22
175002,22
176001,22
177002,22
178001,22
179001,22
180001,22
181002,22
182002,22
183001,22
184001,22
185001,22
186001,22
187002,22
188001,22
189001,22
190002,22
191002,22
192001,22
193001,22
194002,22
195001,22
196001,22
197001,22
198002,22
199001,22
200001,22
201001,22
202001,22
203002,22
204001,22
205002,22
206002,22
207001,22
208001,22
209001,22
210002,22
211002,22
212001,22
213001,22
214002,22
215001,22
216001,22
217002,22
218002,22
219001,22
220001,22
221001,22
222001,22
223001,22
224001,22
225001,22
226001,22
227002,22
228001,22
229001,22
230002,22
231001,22
232001,22
233002,22
234001,22
235001,22
236002,22
237001,22
238001,22
239002,22
240001,22
241001,22
242001,22
243001,22
244001,22
245001,22
246001,22
247001,22
248002,22
249001,22
250002,22
251002,22
252001,22
253001,22
254001,22
255002,22
256001,22
257001,22
258002,22
259002,22
260002,22
261002,22
262001,22
263001,22
264002,22
265001,22
266001,22
267002,22
268002,22
269001,22
270001,22
271002,22
272001,22
273001,22
274002,22
275001,22
276001,22
277002,22
278002,22
279002,22
280001,22
281001,22
282003,22
283002,22
284002,22
285001,22
286002,22
287002,22
288001,22
289001,22
290001,22
291002,22
292001,22
293002,22
294001,22
295001,22
296002,22
297002,22
298002,22
299001,22
300001,22
301002,22
302002,22
303002,22
304002,22
305002,22
306001,22
307002,22
308002,22
309002,22
310001,22
311002,22
312001,22
313001,22
314002,22
315002,22
316001,22
317001,22
318001,22
319002,22
320001,22
321001,22
322001,22
323002,22
324001,22
325001,22
326001,22
327001,22
328002,22
329002,22
330001,22
331001,22
332001,22
333001,22
334002,22
335001,22
336001,22
337002,22
338002,22
339002,22
340001,22
341002,22
342001,22
343001,22
344001,22
345001,22
346002,22
347002,22
348001,22
349001,22
350001,22
351001,22
352002,22
353002,22
354001,22
355001,22
356001,22
357002,22
358001,22
359001,22
360002,22
361002,22
362002,22
363002,22
364002,22
365002,22
366001,22
367001,22
368002,22
369002,22
370001,22
371001,22
372003,22
373001,22
374002,22
375001,22
376001,22
377002,22
378002,22
379001,22
380001,22
381002,22
382002,22
383001,22
384001,22
385001,22
386002,22
387002,22
388001,22
389001,22
390001,22
391002,22
392002,22
393001,22
394001,22
395001,22
396001,22
397001,22
398001,22
399001,22
400001,22
401002,22
402002,22
403001,22
404001,22
405001,22
406001,22
407001,22
408002,22
409003,22
410001,22
411001,22
412001,22
413001,22
414001,22
415001,22
416003,22
417002,22
418002,22
419001,22
420001,22
421003,22
422002,22
423002,22
424001,22
425001,22
426001,22
427002,22
428001,22
429001,22
430001,22
431002,22
432001,22
433001,22
434002,22
435001,22
436002,22
437002,22
438002,22
439001,22
440002,22
441002,22
442002,22
443002,22
444001,22
445002,22
446001,22
447002,22
448001,22
449002,22
450002,22
451001,22
452001,22
453001,22
454001,22
455002,22
456001,22
457001,22
458001,22
459001,22
460001,22
461001,22
462001,22
463001,22
464001,22
465001,22
466001,22
467002,22
468001,22
469001,22
470002,22
471002,22
472001,22
473001,22
474001,22
475002,22
476001,22
477001,22
478001,22
479001,22
480001,22
481002,22
482002,22
483002,22
484001,22
485002,22
486001,22
487001,22
488001,22
489001,22
490001,22
491002,22
492001,22
493001,22
494001,22
495001,22
496001,22
497001,22
498003,22
499001,22
500001,22
501002,22
502002,22
503001,22
504001,22
505002,22
506002,22
507001,22
508001,22
509002,22
510002,22
511002,22
512001,22
513001,22
514001,22
515001,22
516001,22
517002,22
518001,22
519002,22
520001,22
521001,22
522001,22
523002,22
524001,22
525001,22
526001,22
527002,22
528002,22
529001,22
530001,22
531002,22
532001,22
533001,22
534001,22
535001,22
536001,22
537001,22
538001,22
539002,22
540003,22
541001,22
542001,22
543001,22
544001,22
545002,22
546002,22
547001,22
548001,22
549002,22
550001,22
551002,22
552002,22
553002,22
554001,22
555002,22
556001,22
557002,22
558001,22
559001,22
560001,22
561002,22
562002,22
563002,22
564001,22
565001,22
566001,22
567001,22
568002,22
569002,22
570002,22
571002,22
572002,22
573002,22
574001,22
575001,22
576002,22
577002,22
578001,22
579002,22
580002,22
581002,22
582001,22
583001,22
584002,22
585002,22
586004,22
587002,22
588001,22
589001,22
590001,22
591002,22
592002,22
593002,22
594001,22
595001,22
596002,22
597001,22
598001,22
599002,22
600002,22
601002,22
602002,22
603002,22
604002,22
605002,22
606002,22
607001,22
608001,22
609001,22
610002,22
611001,22
612001,22
613002,22
614001,22
615002,22
616001,22
617001,22
618001,22
619001,22
620002,22
621002,22
622001,22
623002,22
624002,22
625001,22
626001,22
627001,22
628002,22
629002,22
630001,22
631001,22
632002,22
633002,22
634001,22
635001,22
636002,22
637002,22
638001,22
639002,22
640001,22
641002,22
642002,22
643002,22
644001,22
645001,22
646001,22
647002,22
648001,22
649001,22
650002,22
651002,22
652002,22
653002,22
654001,22
655002,22
656001,22
657001,22
658001,22
659001,22
660002,22
661002,22
662001,22
663001,22
664002,22
665001,22
666002,22
667002,22
668001,22
669001,22
670002,22
671001,22
672001,22
673001,22
674002,22
675001,22
676002,22
677001,22
678001,22
679001,22
680002,22
681002,22
682001,22
683001,22
684001,22
685002,22
686002,22
687001,22
688001,22
689001,22
690002,22
691002,22
692002,22
693003,22
694002,22
695002,22
696002,22
697002,22
698002,22
699001,22
700001,22
701002,22
702002,22
703001,22
704001,22
705003,22
706002,22
707001,22
708002,22
709001,22
710001,22
711001,22
712001,22
713003,22
714001,22
715001,22
716001,22
717001,22
718001,22
719001,22
720001,22
721002,22
722001,22
723001,22
724001,22
725002,22
726002,22
727001,22
728001,22
729002,22
730001,22
731001,22
732001,22
733001,22
734001,22
735001,22
736002,22
737002,22
738002,22
739001,22
740001,22
741002,22
742002,22
743001,22
744001,22
745001,22
746002,22
747001,22
748001,22
749001,22
750001,22
751001,22
752001,22
753001,22
754001,22
755001,22
756002,22
757002,22
758002,22
759001,22
760002,22
761002,22
762001,22
763001,22
764002,22
765002,22
766001,22
767001,22
768002,22
769002,22
770002,22
771001,22
772002,22
773002,22
774002,22
775001,22
776001,22
777001,22
778001,22
779002,22
780002,22
781001,22
782001,22
783001,22
784002,22
785001,22
786002,22
787001,22
788001,22
789001,22
790001,22
791002,22
792002,22
793001,22
794002,22
795001,22
796002,22
797001,22
798001,22
799001,22
800002,22
801001,22
802001,22
803001,22
804002,22
805001,22
806002,22
807001,22
808002,22
809002,22
810001,22
811001,22
812002,22
813001,22
814002,22
815001,22
816001,22
817001,22
818001,22
819002,22
820001,22
821002,22
822001,22
823001,22
824002,22
825002,22
826001,22
827002,22
828001,22
829001,22
830001,22
831001,22
832001,22
833002,22
834002,22
835002,22
836002,22
837002,22
838001,22
839002,22
840001,22
841001,22
842002,22
843001,22
844002,22
845002,22
846001,22
847001,22
848001,22
849002,22
850001,22
851001,22
852001,22
853001,22
854001,22
855002,22
856002,22
857002,22
858002,22
859001,22
860002,22
861001,22
862002,22
863002,22
864001,22
865001,22
866002,22
867001,22
868001,22
869002,22
870002,22
871002,22
872002,22
873002,22
874002,22
875001,22
876001,22
877001,22
878002,22
879002,22
880002,22
881001,22
882002,22
883002,22
884001,22
885001,22
886002,22
887002,22
888004,22
889001,22
890001,22
891002,22
892002,22
893001,22
894001,22
895001,22
896001,22
897001,22
898002,22
899001,22
900002,22
901001,22
902001,22
903001,22
904002,22
905001,22
906001,22
907002,22
908001,22
909002,22
910002,22
911002,22
912001,22
913001,22
914001,22
915002,22
916001,22
917002,22
918003,22
919001,22
920001,22
921001,22
922001,22
923002,22
924002,22
925001,22
926001,22
927002,22
928002,22
929002,22
930002,22
931002,22
932002,22
933002,22
934002,22
935002,22
936002,22
937001,22
938001,22
939001,22
940001,22
941001,22
942001,22
943001,22
944002,22
945004,22
946001,22
947002,22
948002,22
949002,22
950001,22
951001,22
952001,22
953002,22
954002,22
955002,22
956002,22
957002,22
958002,22
959002,22
960003,22
961002,22
962002,22
963001,22
964001,22
965002,22
966001,22
967002,22
968002,22
969002,22
970002,22
971001,22
972001,22
973002,22
974001,22
975001,22
976002,22
977001,22
978001,22
979002,22
980002,22
981001,22
982001,22
983001,22
984001,22
985001,22
986001,22
987001,22
988001,22
989002,22
990001,22
991001,22
992002,22
993003,22
994002,22
995002,22
996001,22
997001,22
998001,22
999001,22
1000001,22
1001002,22
1002001,22
1003001,22
1004002,22
1005002,22
1006001,22
1007002,22
1008001,22
1009001,22
1010001,22
1011001,22
1012002,22
1013001,22
1014001,22
1015002,22
1016002,22
1017001,22
1018001,22
1019001,22
1020001,22
1021002,22
1022001,22
1023001,22
1024004,22
1025001,22
1026001,22
1027002,22
1028002,22
1029001,22
1030002,22
1031001,22
1032002,22
1033001,22
1034001,22
1035002,22
1036001,22
1037001,22
1038001,22
1039001,22
1040001,22
1041002,22
1042001,22
1043001,22
1044001,22
1045002,22
1046002,22
1047001,22
1048001,22
1049002,22
1050002,22
1051001,22
1052001,22
1053001,22
1054002,22
1055002,22
1056001,22
1057001,22
1058001,22
1059001,22
1060001,22
1061002,22
1062001,22
1063001,22
1064001,22
1065001,22
1066002,22
1067002,22
1068002,22
1069002,22
1070001,22
1071002,22
1072002,22
1073001,22
1074001,22
1075002,22
1076001,22
1077001,22
1078001,22
1079001,22
1080001,22
1081002,22
1082001,22
1083001,22
1084002,22
1085002,22
1086001,22
1087001,22
1088002,22
1089002,22
1090001,22
1091001,22
1092002,22
1093002,22
1094001,22
1095001,22
1096002,22
1097002,22
1098001,22
1099001,22
1100001,22
1101001,22
1102001,22
1103002,22
1104002,22
1105001,22
1106002,22
1107002,22
1108001,22
1109001,22
1110002,22
1111001,22
1112001,22
1113001,22
1114002,22
1115001,22
1116001,22
1117001,22
1118001,22
1119001,22
1120002,22
1121001,22
1122001,22
1123002,22
1124002,22
1125001,22
1126001,22
1127001,22
1128002,22
1129001,22
1130002,22
1131001,22
1132001,22
1133001,22
1134001,22
1135002,22
1136001,22
1137001,22
1138002,22
1139002,22
1140002,22
1141002,22
1142002,22
1143001,22
1144001,22
1145002,22
1146002,22
1147001,22
1148001,22
1149001,22
1150002,22
1151003,22
1152002,22
1153001,22
1154001,22
1155002,22
1156002,22
1157001,22
1158001,22
1159001,22
1160001,22
1161001,22
1162001,22
1163001,22
1164001,22
1165002,22
1166001,22
1167002,22
1168001,22
1169002,22
1170002,22
1171002,22
1172001,22
1173002,22
1174001,22
1175002,22
1176001,22
1177001,22
1178001,22
1179001,22
1180002,22
1181002,22
1182002,22
1183001,22
1184001,22
1185002,22
1186002,22
1187001,22
1188001,22
1189001,22
1190002,22
1191002,22
1192002,22
1193001,22
1194001,22
1195001,22
1196001,22
1197002,22
1198002,22
1199002,22
1200002,0
